,psize
435,1.9999899240999999
436,1.0
437,1.9999899240999999
438,14.999974080400001
439,14.0000195556
440,6.5000012401000005
441,4.455518856099999
442,6.5000012401000005
443,3.4554348544000004
444,4.4551389184
445,1.0893723129000001
446,3.4551746161000003
447,2.0893835209000002
448,2.4553009636
449,1.0
450,2.4553009636
451,1.0
452,1.0
453,12.103232260899999
454,11.1032236225
455,5.9999522704
456,6.00005025
457,5.000009044899999
458,4.0
459,1.9999899240999999
460,2.9999972025000003
461,2.9999972025000003
462,1.9999899240999999
463,2.8967699600999994
464,1.0
465,1.0
466,1.9999899240999999
467,1.0
468,13.6039994896
469,12.603991044099999
470,11.6039697316
471,4.0
472,4.0
473,1.3960131408999998
474,2.9999972025000003
475,2.9999972025000003
476,1.9999899240999999
477,2.9999972025000003
478,1.0
479,1.0
480,1.9999899240999999
481,1.9999899240999999
482,1.0
483,5.000009044899999
484,4.9999643236
485,4.0
486,5.000009044899999
487,2.9999972025000003
488,4.0
489,2.9999972025000003
490,1.9999899240999999
491,2.9999972025000003
492,4.0
493,1.9999899240999999
494,1.0
495,1.9999899240999999
496,1.0
497,1.0
498,3.8081961316
499,2.8082050928999998
500,8.383572793599999
501,3.8081961316
502,7.383610598400001
503,6.3836064964000006
504,6.166431232899999
505,5.1664380804
506,4.1664157924000005
507,2.0000182084
508,1.8335597281
509,1.9999899240999999
510,1.0
511,2.8082050928999998
512,2.8335662223999996
513,1.0
514,6.650209440000001
515,2.6995804416
516,6.650209440000001
517,10.2758072481
518,9.2758011844
519,8.275805632900001
520,4.0
521,1.6995815423999998
522,2.99913124
523,4.0
524,3.0008979361
525,1.9999899240999999
526,1.0246298176000002
527,1.0
528,1.0
529,1.0
530,2.6946864025000004
531,1.6946832400000003
532,13.305350522500001
533,7.462403427599999
534,3.8429329156
535,6.462374094400001
536,2.9999972025000003
537,2.9999972025000003
538,8.462397360399999
539,1.9999899240999999
540,1.9999899240999999
541,2.0000182084
542,1.9999899240999999
543,2.84293321
544,1.0
545,1.0
546,6.999993062500001
547,1.9999899240999999
548,2.2959219529
549,6.999993062500001
550,9.7040972196
551,8.704093072900001
552,4.499998542399999
553,3.5000048889
554,4.499998542399999
555,3.5000048889
556,1.0
557,1.0
558,1.9999899240999999
559,2.0000182084
560,1.0
561,1.0
562,5.33332836
563,5.33332836
564,5.33332836
565,12.999990802500001
566,11.999988810000001
567,10.9999682244
568,4.144848092100001
569,5.8551900625
570,2.4275821249000002
571,2.4275821249000002
572,3.1448411568999997
573,1.0
574,1.4999880676
575,1.9999899240999999
576,1.4999880676
577,1.0
578,16.0
579,13.6039994896
580,12.603991044099999
581,1.3960131408999998
582,11.6039697316
583,5.500009944099999
584,5.500009944099999
585,6.999993062500001
586,1.9999899240999999
587,1.0
588,6.0000012600999995
589,2.5000036996
590,1.0
591,2.5000036996
592,1.9999899240999999
593,1.0
594,1.0
595,3.3003262224000003
596,6.849840528400001
597,9.4639293225
598,8.4639101184
599,6.849840528400001
600,2.3003485561000003
601,4.4220201796000005
602,3.4220190168999998
603,1.3003297024
604,2.2357426576
605,2.4220385640999997
606,4.2776580625
607,3.2776205763999995
608,2.5779834721
609,1.0
610,1.0
