task_sizes,naive1,naive2,heuristic
109,509.06480995047906,603.4201578826963,509.06480995047906
61,221.92794442662793,235.67002001534664,221.92794442662793
334,2627.688144649829,4459.303078618299,2627.688144649829
178,1039.7282955091137,1407.9578285059322,1039.7282955091137
667,7340.933970380807,16640.65272780551,7340.933970380807
349,2804.1490034837634,4830.463360799184,2804.1490034837634
1006,13549.857449516405,36978.59552943327,13549.857449516405
520,5067.766631659833,10282.630868657818,5067.766631659833
1225,18184.397285085994,54355.083578229016,18184.397285085994
631,6758.613108515907,14899.734321066462,6758.613108515907
1474,23978.215844495207,78173.3448331916,23978.215844495207
760,8917.15103629596,21340.937099625375,8917.15103629596
1681,29185.2397113698,101245.14795475721,29185.2397113698
865,10815.691319647183,27428.511572679894,10815.691319647183
361,2948.1466881105657,5173.1526687802,2948.1466881105657
187,1117.7234434671618,1543.8777330714342,1117.7234434671618
772,9127.977367509107,22125.64529186937,9127.977367509107
394,3356.42109624597,6085.75082809061,3356.42109624597
1189,17391.678252446814,51365.66984184673,17391.678252446814
607,6379.526374316363,13869.596821726356,6379.526374316363
1642,28178.347427973957,96878.33826461699,28178.347427973957
838,10315.893664500869,25878.74704756106,10315.893664500869
2095,40571.75467027779,156705.5851571813,40571.75467027779
1069,14836.230231027237,41599.87635234105,14836.230231027237
2542,54193.72818139466,229771.66418600312,54193.72818139466
1294,19736.152556831024,60478.94283472715,19736.152556831024
