task_sizes,naive1,naive2,heuristic
67,192.97635101673305,201.9606722123941,189.9311652252227
219,860.5759047399774,865.5773787317531,860.920869354142
134,432.9571472111156,442.8266391893097,434.12113780566017
438,2336.204229007164,2463.1126260077517,2335.831462251971
201,762.6647142419699,766.3349633260908,763.9819366670001
657,4229.197978525928,4794.2214487728515,4228.815792250541
133,428.48501125611597,438.7170040704243,429.68069513654495
437,2328.4582623147494,2453.8284059088974,2328.085495559557
266,1136.3766866707824,1147.1144308503976,1135.701715423219
874,6440.972408853044,7826.635342007537,6441.639515107164
399,2040.0886625077846,2128.057844404819,2040.9907139294469
1311,11743.022807773552,16123.794005588645,11742.589786571116
331,1555.739985204222,1591.1660944900768,1555.0341126442008
1091,8942.765346340624,11579.537820058491,8942.324229172757
662,4277.104453237089,4868.765284848023,4276.3189348691485
2182,25056.926812849375,41366.05009876169,25056.466632295727
993,7778.935801257094,9834.918891417432,7779.146532441305
3273,45884.545041569356,89361.65815645551,45884.77125214721
661,4267.723621717443,4855.639758984406,4266.938103349502
2181,25039.83880535874,41326.07666662176,25039.37862480509
1322,11889.104207252763,16439.58313479971,11888.980684350681
4362,70481.14117721398,155414.00379848282,70482.35785119605
1983,21728.129211355044,34754.83012744569,21728.129211355044
6543,129268.68981638568,342266.7813955835,129268.68981638568
