task_sizes,naive1,naive2,heuristic
109,324.7758621965185,331.4581781519198,325.4905462627716
61,167.21490030728728,161.72634640660604,160.99830875834016
334,1574.8069915146737,1878.357946019837,1574.8069915146737
178,640.1113664423642,678.8859491547348,640.1113664423642
667,4323.479797298323,6327.330954962115,4323.479797298323
349,1678.7300399688063,2021.5723857907965,1678.7300399688063
1006,7929.7120491082605,13501.750379605119,7929.7120491082605
520,3000.390947287997,4038.6738503471497,3000.390947287997
1225,10617.10349214168,19549.710409914598,10617.10349214168
631,3984.294041902179,5706.609288791876,3984.294041902179
1474,13974.452509994324,27778.439331746842,13974.452509994324
760,5240.007206776536,8005.768814915089,5240.007206776536
1681,16990.085106546412,35711.442903700634,16990.085106546412
865,6342.485530367107,10158.858214803386,6342.485530367107
361,1762.151378052763,2144.598002716444,1762.151378052763
187,686.9498437684013,734.7666659248802,686.9498437684013
772,5362.3836751027575,8276.607658997407,5362.3836751027575
394,2001.2066111238664,2490.3592690116616,2001.2066111238664
1189,10157.807063222615,18507.63128263677,10157.807063222615
607,3764.114728414561,5333.965385648958,3764.114728414561
1642,16407.327375469577,34205.55137304518,16407.327375469577
838,6052.061279521868,9607.019020246778,6052.061279521868
2095,23581.638381152457,54674.27482307862,23581.638381152457
1069,8675.943489149893,15117.423687242324,8675.943489149893
2542,31463.322766302448,79549.58911993969,31463.322766302448
1294,11516.491484524278,21672.09445129497,11516.491484524278
