task_sizes,naive1,naive2,heuristic
10,41.13712731791852,36.854641739190726,36.61200105207144
10,38.38804401589253,35.085641971078765,33.78357392732525
10,38.38804401589254,35.58769627228946,35.67829561617925
10,34.72707801083317,32.09436560076802,31.320498429942262
10,40.14540332877325,36.072303126156186,34.73326084266998
10,33.78357392732525,32.794139348949585,32.37543311561044
10,32.67335612331796,30.582137461149802,30.25070639250759
10,32.37543311561044,31.310133749141812,30.60488391425357
10,38.22289387045643,37.7570371797049,38.22289387045643
10,38.38804401589253,32.000698316026266,31.593091819629713
11,43.44042817681763,43.92140212882994,43.44042817681763
11,43.987696692937746,37.91248638879748,38.50672274092544
11,36.9232304335398,33.74490968903682,33.40250857915146
11,36.61200105207144,35.48111694671615,34.78460004508002
11,35.27443762073695,33.78080807389906,33.40250857915146
11,41.21647114063873,37.64685855989662,36.61200105207145
11,41.21647114063873,38.980551416620045,37.56168796741616
11,38.90076761667238,36.64710324155766,35.620280066364316
11,35.487889835525465,34.18771027014988,33.70601334439802
11,39.69117962597092,36.229483299641345,35.90712058773624
12,44.280225432821695,39.3990953834425,38.55365362755435
12,55.09050647825666,50.81801018972906,48.9365563724082
12,42.268855301563825,43.55189729732964,42.268855301563825
12,51.58653238917705,44.272818098145066,42.95514680257906
12,45.10555843716474,41.024759773532146,40.0761026672092
12,42.26885530156382,43.87299138907085,42.26885530156382
12,40.487889835525465,37.87504636272649,37.48465969357351
12,41.48407284478438,38.22622046897646,37.77656570521819
12,46.39347408687357,42.51929487558362,41.31532875379692
12,48.1223888070681,44.68499330574004,45.10555843716474
13,52.225348951845405,49.87605580572291,49.10199704886824
13,45.19329635655633,43.88967496827965,43.18044089776575
13,45.88098661507557,43.13198218014904,42.55836825011257
13,50.878317959889756,46.96031322408658,46.155715485645956
13,53.87307179014887,51.1986517121214,50.361105661861465
13,47.744327047959445,45.29133682740516,44.78380664074736
13,48.410395702383404,47.2529038606568,45.992832571718296
13,56.22216491259742,51.618244672174576,52.96131760683777
13,45.45199145066322,41.87504636272649,41.5378017670873
13,45.88098661507558,43.1485117049768,42.66799490290198
14,59.050592037343606,50.51691272859986,49.19705853183933
14,52.74432704795945,46.60799078974092,46.39323977425395
14,64.4465077759341,57.07269458745136,56.18265905794951
14,59.05059203734362,55.342776814665775,55.50709484563177
14,54.52286611994098,48.94486274727637,49.08402615887213
14,71.13147430132722,60.9867936763726,58.54533191980186
14,57.09549242000822,53.72822034614491,53.18953278660766
14,54.92051301338837,51.05763364333128,49.45693418685605
14,54.522866119940986,49.31845086200695,48.776392896590956
14,56.33859893265891,53.54722600324563,51.73295691670158
15,57.47597602695288,51.4486075432132,50.90106755857225
15,54.505807030933205,51.222138298397425,50.86549121322037
15,67.02691016006744,56.746255110804924,55.19705853183933
15,53.19705853183933,51.44868132648374,50.865491213220366
15,71.0309692379389,62.55394538605194,61.22666020261138
15,67.36430257127222,61.56413223696018,59.01929872365007
15,56.6536344017454,53.21936786548615,52.259040467537965
15,62.62209599886088,58.1593018679302,57.15721573222933
