task_sizes,naive1,naive2,heuristic
109,379.38410926776794,399.23375372393406,379.60641297931653
61,169.85057479767886,172.01303245990553,169.9567081641436
334,1894.214821522998,2524.188247608844,1894.214821522998
178,760.2400210414291,861.2836755045315,760.2400210414291
667,5243.714385509975,8905.019078528005,5243.714385509975
349,2020.0596213985582,2723.3158394265442,2020.0596213985582
1006,9647.129165283364,19369.778892112292,9647.129165283364
520,3629.311991546834,5599.014765482698,3629.311991546834
1225,12931.515823483698,28249.832367984716,12931.515823483698
631,4830.47517662975,8005.814905974276,4830.47517662975
1474,17035.952092390406,40377.82121080115,17035.952092390406
760,6361.849387430615,11339.395385330099,6361.849387430615
1681,20723.547629035784,52094.056306131235,20723.547629035784
865,7708.616154392843,14475.314984874596,7708.616154392843
361,2122.1155144022628,2901.7366692323762,2122.1155144022628
187,816.5119082837869,937.0444327115193,816.5119082837869
772,6511.729339392177,11738.021767753773,6511.729339392177
394,2412.973480996794,3389.9322827212563,2412.973480996794
1189,12369.954490474227,26721.5956731025,12369.954490474227
607,4561.262509707334,7467.51547319352,4561.262509707334
1642,20010.526875675467,49872.502461352706,20010.526875675467
838,7354.063154820011,13674.153915772291,7354.063154820011
2095,28785.77885317523,80181.51662016714,28785.77885317523
1069,10559.010105001176,21737.254705369924,10559.010105001176
2542,38428.27087201868,117104.07508233275,38428.27087201868
1294,14030.969433984212,31374.419302627524,14030.969433984212
