task_sizes,naive1,naive2,heuristic
109,892.9598739755861,1562.2012517336054,892.9598739755861
61,379.16101825843054,534.1954090117648,379.16101825843054
334,4729.379649589648,13495.425547858422,4729.379649589648
178,1850.0709968864403,3960.0573407704474,1850.0709968864403
667,13304.23683393784,52741.85825998632,13304.23683393784
349,5050.153132062253,14667.956470655412,5050.153132062253
1006,24616.362954569515,119153.61547011607,24616.362954569515
520,9166.451276093077,32141.894960538993,9166.451276093077
1225,33064.59370476982,176182.63723071746,33064.59370476982
631,12244.052209414593,47077.1227989149,12244.052209414593
1474,43628.93456973469,254558.50371232853,43628.93456973469
760,16175.206481309076,68018.62792647879,16175.206481309076
1681,53125.20193817682,330618.1801957354,53125.20193817682
865,19633.767388530297,87879.65171622686,19633.767388530297
361,5311.7754099034555,15773.094000003413,5311.7754099034555
187,1991.0349168219982,4378.0141056758175,1991.0349168219982
772,16559.080381706863,70607.56317664836,16559.080381706863
394,6053.5434717926,18672.377709689317,6053.5434717926
1189,31619.516217076314,166375.10384847486,31619.516217076314
607,11553.741583561501,43747.223712961066,11553.741583561501
1642,51288.75837089371,316241.22528622515,51288.75837089371
838,18723.21901683796,82835.06408123185,18723.21901683796
2095,73894.67186970709,513823.87591332477,73894.67186970709
1069,26961.136970767286,134294.53072567028,26961.136970767286
2542,98746.17180588623,755556.5009174646,98746.17180588623
1294,35893.78564683735,196305.92168931078,35893.78564683735
