task_sizes,naive1,naive2,heuristic
67,254.68875839617294,255.82697404382841,254.85030147987155
219,1410.4008709172576,1598.4584629959536,1409.969325736094
134,687.7571151955041,718.2586169863257,687.9063106303947
438,3928.274660089316,5399.654916972124,3927.864948808905
201,1243.266489728072,1389.2092621269635,1242.8123252381747
657,7178.472168945917,11404.702841549959,7178.472168945917
133,680.2738004219563,709.4824980341698,680.3302379764823
437,3915.008160927895,5374.896144259886,3914.598449647484
266,1877.8173747561643,2237.0425818993776,1877.9452900196577
874,10984.905161977069,19517.28601248351,10984.891848742096
399,3420.5085355663323,4583.069521131616,3420.0152250866477
1311,20125.77528244628,42428.30349808962,20125.08723322425
331,2593.5309346956165,3278.3062971391564,2593.048844147102
1091,15295.451449683826,29787.21938548482,15294.923750715698
662,7259.080442662087,11622.404644498658,7259.080442662087
2182,43119.160569302614,114206.55453506277,43119.160569302614
993,13289.258942062943,25032.880828516125,13289.258942062943
3273,79127.8805491009,253258.5912351704,79127.8805491009
661,7242.70973711834,11584.943375815308,7242.70973711834
2181,43089.563272128726,114088.92713186177,43089.563272128726
1322,20377.796826928326,43363.889774457784,20377.796826928326
4362,121674.2701718795,446476.8198729898,121674.2701718795
1983,37369.34720437698,95336.83919592967,37369.34720437698
6543,223405.42161354178,997163.6782233962,223405.42161354178
