task_size,naive1,heuristic,upperbound
1738,55850.27944826096,71516.16977250265,58318.56199086403,81200.26229578939
4846,259809.23546576576,362978.02347119316,278283.88239065383,378227.2552684946
7117,462338.70919020195,736787.8075678458,506773.82926590694,692537.2708414677
9805,747564.7430993887,1337023.167929368,828042.2774760772,1129457.8969927388
58,361.46773970639464,375.9924439945131,434.45895866492293,554.1812136770026
472,7933.829911964392,9803.580119187423,8124.810287987887,11681.615074345294
2122,75327.399560115,126063.7634587179,76089.5124033913,98384.58716555816
6448,398721.6757194381,865632.6933896582,399997.4226735889,461418.9971344726
